Code,Entity,OWID,OWID_Name,OWID_Continent,OWID_WHO_Region,OWID_WB_Region,OWID_UN_Region,WB,WB_ISO2,WB_Name,WB_region,WB_adminregion,WB_incomeLevel,WB_lendingType,WB_capitalCity,WB_longitude,WB_latitude,WEO,WEO_Country
BOL,Bolivia,BOL,Bolivia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,BOL,BO,Bolivia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,BOL,Bolivia
BRA,Brazil,BRA,Brazil,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,BRA,BR,Brazil,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,BRA,Brazil
BRB,Barbados,BRB,Barbados,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BRB,BB,Barbados,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,BRB,Barbados
BRN,Brunei,BRN,Brunei,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,BRN,BN,Brunei Darussalam,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.94199,BRN,Brunei Darussalam
BSS,Sub-Saharan Africa (IBRD-only countries),,,,,,,BSS,B6,Sub-Saharan Africa (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,
BTN,Bhutan,BTN,Bhutan,Asia,South-East Asia,South Asia,Central and Southern Asia,BTN,BT,Bhutan,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,BTN,Bhutan
BVT,Bouvet Island,BVT,Bouvet Island,Antarctica,,,,,,,,,,,,,,,
BWA,Botswana,BWA,Botswana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BWA,BW,Botswana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,BWA,Botswana
CAA,Sub-Saharan Africa (IFC classification),,,,,,,CAA,C9,Sub-Saharan Africa (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,
CAF,Central African Republic,CAF,Central African Republic,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CAF,CF,Central African Republic,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bangui,21.6407,5.63056,CAF,Central African Republic
CAN,Canada,CAN,Canada,North America,Americas,North America,Europe and Northern America,CAN,CA,Canada,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,CAN,Canada
CCK,Cocos (Keeling) Islands,CCK,Cocos (Keeling) Islands,Asia,,,Oceania,,,,,,,,,,,,
CEA,East Asia and the Pacific (IFC classification),,,,,,,CEA,C4,East Asia and the Pacific (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,
CEB,Central Europe and the Baltics,,,,,,,CEB,B8,Central Europe and the Baltics,Aggregates,,Aggregates,Aggregates,,,,,
CEU,Europe and Central Asia (IFC classification),,,,,,,CEU,C5,Europe and Central Asia (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,
CHE,Switzerland,CHE,Switzerland,Europe,Europe,Europe and Central Asia,Europe and Northern America,CHE,CH,Switzerland,Europe & Central Asia,,High income,Not classified,Bern,7.44821,46.948,CHE,Switzerland
CHL,Chile,CHL,Chile,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,CHL,CL,Chile,Latin America & Caribbean ,,High income,IBRD,Santiago,-70.6475,-33.475,CHL,Chile
CHN,China,CHN,China,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,CHN,CN,China,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Beijing,116.286,40.0495,CHN,China
CIV,Cote d'Ivoire,CIV,Cote d'Ivoire,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CIV,CI,Cote d'Ivoire,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Yamoussoukro,-4.0305,5.332,CIV,C̫te d'Ivoire
CLA,Latin America and the Caribbean (IFC classification),,,,,,,CLA,C6,Latin America and the Caribbean (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,
CME,Middle East and North Africa (IFC classification),,,,,,,CME,C7,Middle East and North Africa (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,
CMR,Cameroon,CMR,Cameroon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CMR,CM,Cameroon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,CMR,Cameroon
COD,"Congo, Dem. Rep.",COD,Democratic Republic of Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COD,CD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kinshasa,15.3222,-4.325,COD,Democratic Republic of the Congo
COG,Congo,COG,Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COG,CG,"Congo, Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Brazzaville,15.2662,-4.2767,COG,Republic of Congo
COK,Cook Islands,COK,Cook Islands,Oceania,Western Pacific,,Oceania,,,,,,,,,,,,
COL,Colombia,COL,Colombia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,COL,CO,Colombia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Bogota,-74.082,4.60987,COL,Colombia
COM,Comoros,COM,Comoros,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COM,KM,Comoros,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Moroni,43.2418,-11.6986,COM,Comoros
CPV,Cabo Verde,CPV,Cape Verde,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CPV,CV,Cabo Verde,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,CPV,Cabo Verde
CRI,Costa Rica,CRI,Costa Rica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,CRI,CR,Costa Rica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,San Jose,-84.0089,9.63701,CRI,Costa Rica
CSA,South Asia (IFC classification),,,,,,,CSA,C8,South Asia (IFC classification),Aggregates,,Aggregates,Aggregates,,,,,
CSS,Caribbean small states,,,,,,,CSS,S3,Caribbean small states,Aggregates,,Aggregates,Aggregates,,,,,
CUB,Cuba,CUB,Cuba,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,CUB,CU,Cuba,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Not classified,Havana,-82.3667,23.1333,,
CUW,Curacao,CUW,Curacao,North America,,Latin America and Caribbean,Latin America and Caribbean,CUW,CW,Curacao,Latin America & Caribbean ,,High income,Not classified,Willemstad,,,,
CXR,Christmas Island,CXR,Christmas Island,Asia,,,Oceania,,,,,,,,,,,,
CYM,Cayman Islands,CYM,Cayman Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,CYM,KY,Cayman Islands,Latin America & Caribbean ,,High income,Not classified,George Town,-81.3857,19.3022,,
CYP,Cyprus,CYP,Cyprus,Europe,Europe,Europe and Central Asia,Northern Africa and Western Asia,CYP,CY,Cyprus,Europe & Central Asia,,High income,Not classified,Nicosia,33.3736,35.1676,CYP,Cyprus
CZE,Czech Republic,CZE,Czechia,Europe,Europe,Europe and Central Asia,Europe and Northern America,CZE,CZ,Czech Republic,Europe & Central Asia,,High income,Not classified,Prague,14.4205,50.0878,CZE,Czech Republic
DEA,East Asia & Pacific (IDA-eligible countries),,,,,,,DEA,D4,East Asia & Pacific (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,
DEC,Europe & Central Asia (IDA-eligible countries),,,,,,,DEC,D7,Europe & Central Asia (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,
DEU,Germany,DEU,Germany,Europe,Europe,Europe and Central Asia,Europe and Northern America,DEU,DE,Germany,Europe & Central Asia,,High income,Not classified,Berlin,13.4115,52.5235,DEU,Germany
DFS,IDA countries classified as Fragile Situations,,,,,,,DFS,D8,IDA countries classified as Fragile Situations,Aggregates,,Aggregates,Aggregates,,,,,
DJI,Djibouti,DJI,Djibouti,Africa,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,DJI,DJ,Djibouti,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IDA,Djibouti,43.1425,11.5806,DJI,Djibouti
DLA,Latin America & the Caribbean (IDA-eligible countries),,,,,,,DLA,D2,Latin America & the Caribbean (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,
DMA,Dominica,DMA,Dominica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,DMA,DM,Dominica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Roseau,-61.39,15.2976,DMA,Dominica
DMN,Middle East & North Africa (IDA-eligible countries),,,,,,,DMN,D3,Middle East & North Africa (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,
DNF,IDA countries not classified as Fragile Situations,,,,,,,DNF,D9,IDA countries not classified as Fragile Situations,Aggregates,,Aggregates,Aggregates,,,,,
DNK,Denmark,DNK,Denmark,Europe,Europe,Europe and Central Asia,Europe and Northern America,DNK,DK,Denmark,Europe & Central Asia,,High income,Not classified,Copenhagen,12.5681,55.6763,DNK,Denmark
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,,,,,,,DNS,N6,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,,Aggregates,Aggregates,,,,,
DOM,Dominican Republic,DOM,Dominican Republic,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,DOM,DO,Dominican Republic,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Santo Domingo,-69.8908,18.479,DOM,Dominican Republic
DSA,South Asia (IDA-eligible countries),,,,,,,DSA,D5,South Asia (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,,,,,,,DSF,F6,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,,Aggregates,Aggregates,,,,,
DSS,Sub-Saharan Africa (IDA-eligible countries),,,,,,,DSS,D6,Sub-Saharan Africa (IDA-eligible countries),Aggregates,,Aggregates,Aggregates,,,,,
DZA,Algeria,DZA,Algeria,Africa,Africa,Middle East and North Africa,Northern Africa and Western Asia,DZA,DZ,Algeria,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Algiers,3.05097,36.7397,DZA,Algeria
EAP,East Asia & Pacific (excluding high income),,,,,,,EAP,4E,East Asia & Pacific (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,
EAR,Early-demographic dividend,,,,,,,EAR,V2,Early-demographic dividend,Aggregates,,Aggregates,Aggregates,,,,,
EAS,East Asia & Pacific,,,,,,,EAS,Z4,East Asia & Pacific,Aggregates,,Aggregates,Aggregates,,,,,
ECA,Europe & Central Asia (excluding high income),,,,,,,ECA,7E,Europe & Central Asia (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,
ECS,Europe & Central Asia,,,,,,,ECS,Z7,Europe & Central Asia,Aggregates,,Aggregates,Aggregates,,,,,
ECU,Ecuador,ECU,Ecuador,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,ECU,EC,Ecuador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Quito,-78.5243,-0.229498,ECU,Ecuador
EGY,Egypt,EGY,Egypt,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,EGY,EG,"Egypt, Arab Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Cairo,31.2461,30.0982,EGY,Egypt
EMU,Euro area,,,,,,,EMU,XC,Euro area,Aggregates,,Aggregates,Aggregates,,,,,
ERI,Eritrea,ERI,Eritrea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ERI,ER,Eritrea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Asmara,38.9183,15.3315,ERI,Eritrea
ESH,Western Sahara,ESH,Western Sahara,Africa,,,Northern Africa and Western Asia,,,,,,,,,,,,
ESP,Spain,ESP,Spain,Europe,Europe,Europe and Central Asia,Europe and Northern America,ESP,ES,Spain,Europe & Central Asia,,High income,Not classified,Madrid,-3.70327,40.4167,ESP,Spain
EST,Estonia,EST,Estonia,Europe,Europe,Europe and Central Asia,Europe and Northern America,EST,EE,Estonia,Europe & Central Asia,,High income,Not classified,Tallinn,24.7586,59.4392,EST,Estonia
ETH,Ethiopia,ETH,Ethiopia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ETH,ET,Ethiopia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Addis Ababa,38.7468,9.02274,ETH,Ethiopia
EUU,European Union,,,,,,,EUU,EU,European Union,Aggregates,,Aggregates,Aggregates,,,,,
FCS,Fragile and conflict affected situations,,,,,,,FCS,F1,Fragile and conflict affected situations,Aggregates,,Aggregates,Aggregates,,,,,
FIN,Finland,FIN,Finland,Europe,Europe,Europe and Central Asia,Europe and Northern America,FIN,FI,Finland,Europe & Central Asia,,High income,Not classified,Helsinki,24.9525,60.1608,FIN,Finland
FJI,Fiji,FJI,Fiji,Oceania,Western Pacific,East Asia and Pacific,Oceania,FJI,FJ,Fiji,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Blend,Suva,178.399,-18.1149,FJI,Fiji
FLK,Falkland Islands,FLK,Falkland Islands,South America,,,Latin America and Caribbean,,,,,,,,,,,,
FRA,France,FRA,France,Europe,Europe,Europe and Central Asia,Europe and Northern America,FRA,FR,France,Europe & Central Asia,,High income,Not classified,Paris,2.35097,48.8566,FRA,France
FRO,Faroe Islands,FRO,Faeroe Islands,Europe,,Europe and Central Asia,Europe and Northern America,FRO,FO,Faroe Islands,Europe & Central Asia,,High income,Not classified,Torshavn,-6.91181,61.8926,,
FSM,Micronesia,FSM,Micronesia,Oceania,Western Pacific,East Asia and Pacific,Oceania,FSM,FM,"Micronesia, Fed. Sts.",East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Palikir,158.185,6.91771,FSM,Micronesia
FXS,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",,,,,,,FXS,6F,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,,Aggregates,Aggregates,,,,,
GAB,Gabon,GAB,Gabon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GAB,GA,Gabon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Libreville,9.45162,0.38832,GAB,Gabon
GBR,United Kingdom,GBR,United Kingdom,Europe,Europe,Europe and Central Asia,Europe and Northern America,GBR,GB,United Kingdom,Europe & Central Asia,,High income,Not classified,London,-0.126236,51.5002,GBR,United Kingdom
GEO,Georgia,GEO,Georgia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,GEO,GE,Georgia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tbilisi,44.793,41.71,GEO,Georgia
GGY,Guernsey,GGY,Guernsey,Europe,,,,,,,,,,,,,,,
GHA,Ghana,GHA,Ghana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GHA,GH,Ghana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Accra,-0.20795,5.57045,GHA,Ghana
GIB,Gibraltar,GIB,Gibraltar,Europe,,Europe and Central Asia,Europe and Northern America,GIB,GI,Gibraltar,Europe & Central Asia,,High income,Not classified,,,,,
GIN,Guinea,GIN,Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GIN,GN,Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Conakry,-13.7,9.51667,GIN,Guinea
GLP,Guadeloupe,GLP,Guadeloupe,North America,,,Latin America and Caribbean,,,,,,,,,,,,
GMB,Gambia,GMB,Gambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GMB,GM,"Gambia, The",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Banjul,-16.5885,13.4495,GMB,The Gambia
GNB,Guinea-Bissau,GNB,Guinea-Bissau,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GNB,GW,Guinea-Bissau,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bissau,-15.1804,11.8037,GNB,Guinea-Bissau
GNQ,Equatorial Guinea,GNQ,Equatorial Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GNQ,GQ,Equatorial Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Malabo,8.7741,3.7523,GNQ,Equatorial Guinea
GRC,Greece,GRC,Greece,Europe,Europe,Europe and Central Asia,Europe and Northern America,GRC,GR,Greece,Europe & Central Asia,,High income,Not classified,Athens,23.7166,37.9792,GRC,Greece
GRD,Grenada,GRD,Grenada,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,GRD,GD,Grenada,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Saint George's,-61.7449,12.0653,GRD,Grenada
GRL,Greenland,GRL,Greenland,North America,,Europe and Central Asia,Europe and Northern America,GRL,GL,Greenland,Europe & Central Asia,,High income,Not classified,Nuuk,-51.7214,64.1836,,
GTM,Guatemala,GTM,Guatemala,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,GTM,GT,Guatemala,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Guatemala City,-90.5328,14.6248,GTM,Guatemala
GUF,French Guiana,GUF,French Guiana,South America,,,Latin America and Caribbean,,,,,,,,,,,,
GUM,Guam,GUM,Guam,Oceania,,East Asia and Pacific,Oceania,GUM,GU,Guam,East Asia & Pacific,,High income,Not classified,Agana,144.794,13.4443,,
GUY,Guyana,GUY,Guyana,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,GUY,GY,Guyana,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IDA,Georgetown,-58.1548,6.80461,GUY,Guyana
HIC,High income,,High-income countries,,,,,HIC,XD,High income,Aggregates,,Aggregates,Aggregates,,,,,
HKG,Hong Kong,HKG,Hong Kong,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,,High income,Not classified,,114.109,22.3964,HKG,Hong Kong SAR
HMD,Heard Island and McDonald Islands,HMD,Heard Island and McDonald Islands,Antarctica,,,Oceania,,,,,,,,,,,,
HND,Honduras,HND,Honduras,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,HND,HN,Honduras,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Tegucigalpa,-87.4667,15.1333,HND,Honduras
HPC,Heavily indebted poor countries (HIPC),,,,,,,HPC,XE,Heavily indebted poor countries (HIPC),Aggregates,,Aggregates,Aggregates,,,,,
HRV,Croatia,HRV,Croatia,Europe,Europe,Europe and Central Asia,Europe and Northern America,HRV,HR,Croatia,Europe & Central Asia,,High income,IBRD,Zagreb,15.9614,45.8069,HRV,Croatia
HTI,Haiti,HTI,Haiti,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,HTI,HT,Haiti,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Port-au-Prince,-72.3288,18.5392,HTI,Haiti
